Model,Subject,Causal5_F1_Macro,Params_M
ResNet1D,2,0.7594502897713497,1.907377
ResNet1D,3,0.8229865722246198,1.907377
ResNet1D,4,0.7010352682582072,1.907377
ResNet1D,5,0.8581508081989453,1.907377
ResNet1D,6,0.7714881880465582,1.907377
ResNet1D,7,0.7895089403995817,1.907377
ResNet1D,8,0.8599952640085916,1.907377
ResNet1D,9,0.8378615889433563,1.907377
ResNet1D,10,0.7724076844697922,1.907377
ResNet1D,11,0.7803165983377914,1.907377
ResNet1D,12,0.699581307355194,1.907377
ResNet1D,13,0.8310163442498948,1.907377
ResNet1D,14,0.7041585484611592,1.907377
ResNet1D,15,0.8277218948899636,1.907377
ResNet1D,16,0.7603866442268984,1.907377
ResNet1D,17,0.7566572709723397,1.907377
ResNet1D,18,0.7388701060181537,1.907377
ResNet1D,19,0.7826416419071465,1.907377
ResNet1D,20,0.7890959631252122,1.907377
ResNet1D,21,0.8054503024443481,1.907377
ResNet1D,22,0.7750634933187139,1.907377
ResNet1D,23,0.7945714523237868,1.907377
ResNet1D,24,0.6472132914978531,1.907377
ResNet1D,25,0.762883956779029,1.907377
ResNet1D,26,0.8054676541938329,1.907377
ResNet1D,27,0.7616718468092298,1.907377
ResNet1D,28,0.7095885227018992,1.907377
ResNet1D,29,0.719130153820565,1.907377
ResNet1D,30,0.7823402654239697,1.907377
ResNet1D,31,0.6818762459822739,1.907377
ResNet1D,32,0.7220029203063822,1.907377
ResNet1D,33,0.8536412578194406,1.907377
ResNet1D,34,0.7962169107634663,1.907377
ResNet1D,35,0.7353813857145503,1.907377
ResNet1D,36,0.7110636449834514,1.907377
ResNet1D,37,0.7609651046824575,1.907377
ResNet1D,38,0.7066270980308966,1.907377
ResNet1D,39,0.7795369233663028,1.907377
ResNet1D,40,0.8345201619732969,1.907377
SqueezeNet1D,1,0.7778426246262246,0.281393
SqueezeNet1D,2,0.6314845995725781,0.281393
SqueezeNet1D,3,0.7766391163505265,0.281393
SqueezeNet1D,4,0.6337738396760556,0.281393
SqueezeNet1D,5,0.7654438582255962,0.281393
SqueezeNet1D,6,0.7182600502148506,0.281393
SqueezeNet1D,7,0.6944065904938692,0.281393
SqueezeNet1D,8,0.7915474236864952,0.281393
SqueezeNet1D,9,0.7780933682805136,0.281393
SqueezeNet1D,10,0.7119417870302485,0.281393
SqueezeNet1D,11,0.7021384736084164,0.281393
SqueezeNet1D,12,0.6190322777045287,0.281393
SqueezeNet1D,13,0.7421442257786219,0.281393
SqueezeNet1D,14,0.6033280563124144,0.281393
SqueezeNet1D,15,0.7686381229290857,0.281393
SqueezeNet1D,16,0.6713166667153976,0.281393
SqueezeNet1D,17,0.7152131628839511,0.281393
SqueezeNet1D,18,0.6778257572488945,0.281393
SqueezeNet1D,19,0.7277681021448588,0.281393
SqueezeNet1D,20,0.7352127297799753,0.281393
SqueezeNet1D,21,0.7594537185080176,0.281393
SqueezeNet1D,22,0.7278615346772055,0.281393
SqueezeNet1D,23,0.7272674576097099,0.281393
SqueezeNet1D,24,0.5979452129002566,0.281393
SqueezeNet1D,25,0.717097665856421,0.281393
SqueezeNet1D,26,0.7632478548544648,0.281393
SqueezeNet1D,27,0.6597730327312605,0.281393
SqueezeNet1D,28,0.6395657024342428,0.281393
SqueezeNet1D,29,0.6838178906535033,0.281393
SqueezeNet1D,30,0.7636839908945656,0.281393
SqueezeNet1D,31,0.6621393412443533,0.281393
SqueezeNet1D,32,0.7082705352597619,0.281393
SqueezeNet1D,33,0.8049645500747714,0.281393
SqueezeNet1D,34,0.7143006407662166,0.281393
SqueezeNet1D,35,0.7009535273625574,0.281393
SqueezeNet1D,36,0.5957557399697406,0.281393
SqueezeNet1D,37,0.7216128240050458,0.281393
SqueezeNet1D,38,0.676615327394873,0.281393
SqueezeNet1D,39,0.7297563590630135,0.281393
SqueezeNet1D,40,0.7533676480315677,0.281393
ShuffleNetV2_1D,1,0.8434048622047835,0.713297
ShuffleNetV2_1D,2,0.7597807203169354,0.713297
ShuffleNetV2_1D,3,0.8382208567867472,0.713297
ShuffleNetV2_1D,4,0.7058533765228068,0.713297
ShuffleNetV2_1D,5,0.8491214691515079,0.713297
ShuffleNetV2_1D,6,0.7877702941064382,0.713297
ShuffleNetV2_1D,7,0.7970736267013669,0.713297
ShuffleNetV2_1D,8,0.8512896178283975,0.713297
ShuffleNetV2_1D,9,0.8094704773484475,0.713297
ShuffleNetV2_1D,10,0.7596350503875242,0.713297
ShuffleNetV2_1D,11,0.7250762784562756,0.713297
ShuffleNetV2_1D,12,0.6840436047362146,0.713297
ShuffleNetV2_1D,13,0.7874984263646264,0.713297
ShuffleNetV2_1D,14,0.7048768606409987,0.713297
ShuffleNetV2_1D,15,0.8270191663593366,0.713297
ShuffleNetV2_1D,16,0.743635747993134,0.713297
ShuffleNetV2_1D,17,0.778387327076436,0.713297
ShuffleNetV2_1D,18,0.7500603917593305,0.713297
ShuffleNetV2_1D,19,0.7773258553549303,0.713297
ShuffleNetV2_1D,20,0.7824037483420924,0.713297
ShuffleNetV2_1D,21,0.8097837781304941,0.713297
ShuffleNetV2_1D,22,0.7707664865343351,0.713297
ShuffleNetV2_1D,23,0.8064809986119704,0.713297
ShuffleNetV2_1D,24,0.640166264955773,0.713297
ShuffleNetV2_1D,25,0.7843460615826884,0.713297
ShuffleNetV2_1D,26,0.8215055019578478,0.713297
ShuffleNetV2_1D,27,0.7348868209826905,0.713297
ShuffleNetV2_1D,28,0.685976053051139,0.713297
ShuffleNetV2_1D,29,0.7684704372528002,0.713297
ShuffleNetV2_1D,30,0.8030628291881472,0.713297
ShuffleNetV2_1D,31,0.7349072772016698,0.713297
ShuffleNetV2_1D,32,0.7669434448708036,0.713297
ShuffleNetV2_1D,33,0.8697151819012037,0.713297
ShuffleNetV2_1D,34,0.8057707225721004,0.713297
ShuffleNetV2_1D,35,0.7341611080182897,0.713297
ShuffleNetV2_1D,36,0.7160099856462858,0.713297
ShuffleNetV2_1D,37,0.7968989170246146,0.713297
ShuffleNetV2_1D,38,0.7204486419237769,0.713297
ShuffleNetV2_1D,39,0.8002871655308957,0.713297
ShuffleNetV2_1D,40,0.79745632371154,0.713297
DenseNet1D,1,0.8532216022550684,0.620881
DenseNet1D,2,0.7886484297016721,0.620881
DenseNet1D,3,0.8389805027074814,0.620881
DenseNet1D,4,0.7341332204993816,0.620881
DenseNet1D,5,0.8690120516818042,0.620881
DenseNet1D,6,0.784725324350659,0.620881
DenseNet1D,7,0.7830209143916586,0.620881
DenseNet1D,8,0.861362486960079,0.620881
DenseNet1D,9,0.8420179567514356,0.620881
DenseNet1D,10,0.8024565875010593,0.620881
DenseNet1D,11,0.7777929287569879,0.620881
DenseNet1D,12,0.6998554438961383,0.620881
DenseNet1D,13,0.8249749675500564,0.620881
DenseNet1D,14,0.7236138279918991,0.620881
DenseNet1D,15,0.8401465391916476,0.620881
DenseNet1D,16,0.7757714117727669,0.620881
DenseNet1D,17,0.8014260364352869,0.620881
DenseNet1D,18,0.7495202353099234,0.620881
DenseNet1D,19,0.8023833278439184,0.620881
DenseNet1D,20,0.8103040422102539,0.620881
DenseNet1D,21,0.838877955331753,0.620881
DenseNet1D,22,0.8127032856084179,0.620881
DenseNet1D,23,0.8333546577089408,0.620881
DenseNet1D,24,0.6630162499117427,0.620881
DenseNet1D,25,0.7875222780118709,0.620881
DenseNet1D,26,0.8247829770598842,0.620881
DenseNet1D,27,0.767473942322659,0.620881
DenseNet1D,28,0.7149893423268929,0.620881
DenseNet1D,29,0.7601811141633797,0.620881
DenseNet1D,30,0.79196987579774,0.620881
DenseNet1D,31,0.7247583415741764,0.620881
DenseNet1D,32,0.7764046697495204,0.620881
DenseNet1D,33,0.8714744851077878,0.620881
DenseNet1D,34,0.8190165951208309,0.620881
DenseNet1D,35,0.7714210725548951,0.620881
DenseNet1D,36,0.7260117239796126,0.620881
DenseNet1D,37,0.8274182702324181,0.620881
DenseNet1D,38,0.7646230148545308,0.620881
DenseNet1D,39,0.8250609387605506,0.620881
DenseNet1D,40,0.8471356308241879,0.620881
InceptionTime1D,1,0.8496476534623941,0.503217
InceptionTime1D,2,0.771140497315499,0.503217
InceptionTime1D,3,0.801685107450774,0.503217
InceptionTime1D,4,0.6945119633741034,0.503217
InceptionTime1D,5,0.8510476854998841,0.503217
InceptionTime1D,6,0.7860054023897515,0.503217
InceptionTime1D,7,0.8045599682700533,0.503217
InceptionTime1D,8,0.8581768978354173,0.503217
